datetime,Speed
2/25/2020 17:15,20.31
2/25/2020 17:20,21.90
2/25/2020 17:25,16.48
2/25/2020 17:35,22.03
2/25/2020 17:40,23.55
2/25/2020 17:45,18.71
2/25/2020 17:50,20.47
2/25/2020 17:55,22.68
2/25/2020 18:05,21.05
2/25/2020 18:10,16.97
2/25/2020 18:15,17.64
2/25/2020 18:20,19.61
2/25/2020 18:25,19.30
2/25/2020 18:35,19.59
2/25/2020 18:40,16.69
2/25/2020 18:45,16.75
2/25/2020 18:50,17.81
2/25/2020 18:55,19.09
2/25/2020 8:35,23.90
2/25/2020 8:40,26.22
2/25/2020 8:45,24.89
2/25/2020 8:50,23.00
2/25/2020 8:55,25.18
2/25/2020 9:05,20.96
2/25/2020 9:10,22.18
2/25/2020 9:15,22.04
2/25/2020 9:20,20.99
2/25/2020 9:25,22.19
2/25/2020 9:35,21.82
2/25/2020 9:40,22.14
2/25/2020 9:45,22.90
2/25/2020 9:50,21.32
2/25/2020 9:55,22.68
2/25/2020 10:05,20.98
2/25/2020 10:10,23.35
2/25/2020 10:15,20.72
2/25/2020 10:20,21.76
2/25/2020 10:25,22.30
2/25/2020 10:35,21.10
2/25/2020 10:40,22.63
2/25/2020 10:45,24.02
2/25/2020 10:50,21.36
2/25/2020 10:55,21.29
2/25/2020 16:35,24.67
2/25/2020 16:40,23.76
2/25/2020 16:45,24.18
2/25/2020 16:50,21.07
2/25/2020 16:55,23.53
2/25/2020 17:05,23.07
2/25/2020 17:10,22.47
2/25/2020 17:15,18.71
2/25/2020 17:20,23.70
2/25/2020 17:25,22.95
2/25/2020 17:35,20.58
2/25/2020 17:40,20.05
2/25/2020 17:45,21.82
2/25/2020 17:50,19.86
2/25/2020 17:55,22.11
2/25/2020 18:05,20.86
2/25/2020 18:10,19.46
2/25/2020 18:15,23.01
2/25/2020 18:20,21.65
2/25/2020 18:25,19.96
2/25/2020 18:35,22.06
2/25/2020 18:40,23.07
2/25/2020 18:45,18.04
2/25/2020 18:50,23.37
2/25/2020 18:55,21.99
2/26/2020 8:35,27.25
2/26/2020 8:40,25.16
2/26/2020 8:45,24.44
2/26/2020 8:50,23.25
2/26/2020 8:55,22.30
2/26/2020 9:05,21.18
2/26/2020 9:10,20.94
2/26/2020 9:15,22.47
2/26/2020 9:20,23.26
2/26/2020 9:25,23.34
2/26/2020 9:35,20.85
2/26/2020 9:40,23.45
2/26/2020 9:45,23.95
2/26/2020 9:50,23.01
2/26/2020 9:55,18.38
2/26/2020 10:05,22.10
2/26/2020 10:10,22.87
2/26/2020 10:15,22.57
2/26/2020 10:20,20.40
2/26/2020 10:25,24.37
2/26/2020 10:35,22.04
2/26/2020 10:40,22.25
2/26/2020 10:45,20.88
2/26/2020 10:50,22.92
2/26/2020 10:55,22.22
2/26/2020 16:35,23.70
2/26/2020 16:40,19.07
2/26/2020 16:45,17.06
2/26/2020 16:50,19.07
2/26/2020 16:55,19.95
2/26/2020 17:05,19.31
2/26/2020 17:10,22.85
2/26/2020 17:15,22.29
2/26/2020 17:20,22.28
2/26/2020 17:25,21.64
2/26/2020 17:35,22.10
2/26/2020 17:40,20.02
2/26/2020 17:45,22.08
2/26/2020 17:50,24.28
2/26/2020 17:55,23.18
2/26/2020 18:05,21.64
2/26/2020 18:10,19.39
2/26/2020 18:15,18.78
2/26/2020 18:20,21.56
2/26/2020 18:25,19.81
2/26/2020 18:35,21.44
2/26/2020 18:40,21.93
2/26/2020 18:45,22.33
2/26/2020 18:50,24.62
2/26/2020 18:55,25.29
2/26/2020 8:35,26.25
2/26/2020 8:40,27.49
2/26/2020 8:45,26.10
2/26/2020 8:50,24.78
2/26/2020 8:55,21.64
2/26/2020 9:05,25.86
2/26/2020 9:10,27.72
2/26/2020 9:15,25.02
2/26/2020 9:20,23.41
2/26/2020 9:25,27.32
2/26/2020 9:35,24.99
2/26/2020 9:40,21.54
2/26/2020 9:45,21.03
2/26/2020 9:50,23.85
2/26/2020 9:55,22.61
2/26/2020 10:05,21.25
2/26/2020 10:10,21.77
2/26/2020 10:15,24.54
2/26/2020 10:20,23.22
2/26/2020 10:25,21.52
2/26/2020 10:35,26.64
2/26/2020 10:40,21.31
2/26/2020 10:45,25.01
2/26/2020 10:50,24.04
2/26/2020 10:55,21.52
2/26/2020 16:35,22.75
2/26/2020 16:40,20.95
2/26/2020 16:45,23.03
2/26/2020 16:50,24.29
2/26/2020 16:55,22.95
2/26/2020 17:05,22.16
2/26/2020 17:10,22.70
2/26/2020 17:15,21.81
2/26/2020 17:20,22.97
2/26/2020 17:25,21.42
2/26/2020 17:35,20.87
2/26/2020 17:40,22.82
2/26/2020 17:45,20.77
2/26/2020 17:50,22.96
2/26/2020 17:55,20.35
2/26/2020 18:05,22.04
2/26/2020 18:10,16.53
2/26/2020 18:15,12.43
2/26/2020 18:20,15.82
2/26/2020 18:25,17.50
2/26/2020 18:35,19.90
2/26/2020 18:40,20.31
2/26/2020 18:45,21.92
2/26/2020 18:50,22.34
2/26/2020 18:55,20.50
2/27/2020 8:35,29.34
2/27/2020 8:40,26.11
2/27/2020 8:45,27.06
2/27/2020 8:50,24.50
2/27/2020 8:55,26.56
2/27/2020 9:05,24.38
2/27/2020 9:10,26.07
2/27/2020 9:15,21.76
2/27/2020 9:20,26.51
2/27/2020 9:25,23.34
2/27/2020 9:35,21.94
2/27/2020 9:40,20.75
2/27/2020 9:45,18.35
2/27/2020 9:50,22.99
2/27/2020 9:55,24.32
2/27/2020 10:05,24.08
2/27/2020 10:10,25.19
2/27/2020 10:15,21.02
2/27/2020 10:20,21.07
2/27/2020 10:25,22.42
2/27/2020 10:35,27.92
2/27/2020 10:40,29.24
2/27/2020 10:45,26.27
2/27/2020 10:50,20.30
2/27/2020 10:55,27.86
2/27/2020 16:35,23.47
2/27/2020 16:40,25.53
2/27/2020 16:45,19.58
2/27/2020 16:50,25.18
2/27/2020 16:55,22.87
2/27/2020 17:05,22.73
2/27/2020 17:10,24.23
2/27/2020 17:15,25.05
2/27/2020 17:20,17.91
2/27/2020 17:25,21.13
2/27/2020 17:35,20.56
2/27/2020 17:40,21.35
2/27/2020 17:45,18.94
2/27/2020 17:50,19.56
2/27/2020 17:55,21.02
2/27/2020 18:05,21.75
2/27/2020 18:10,20.94
2/27/2020 18:15,20.33
2/27/2020 18:20,19.14
2/27/2020 18:25,20.43
2/27/2020 18:35,21.13
2/27/2020 18:40,20.48
2/27/2020 18:45,19.74
2/27/2020 18:50,20.07
2/27/2020 18:55,19.53
2/27/2020 8:35,23.13
2/27/2020 8:40,26.39
2/27/2020 8:45,25.11
2/27/2020 8:50,29.30
2/27/2020 8:55,24.98
2/27/2020 9:05,24.74
2/27/2020 9:10,27.39
2/27/2020 9:15,26.11
2/27/2020 9:20,25.36
2/27/2020 9:25,22.60
2/27/2020 9:35,25.86
2/27/2020 9:40,27.56
2/27/2020 9:45,24.57
2/27/2020 9:50,25.10
2/27/2020 9:55,25.14
2/27/2020 10:05,24.49
2/27/2020 10:10,22.17
2/27/2020 10:15,23.30
2/27/2020 10:20,24.82
2/27/2020 10:25,25.83
2/27/2020 10:35,23.54
2/27/2020 10:40,25.08
2/27/2020 10:45,22.13
2/27/2020 10:50,21.28
2/27/2020 10:55,21.47
2/27/2020 16:35,21.91
2/27/2020 16:40,24.67
2/27/2020 16:45,21.90
2/27/2020 16:50,25.66
2/27/2020 16:55,23.05
2/27/2020 17:05,22.61
2/27/2020 17:10,19.75
2/27/2020 17:15,22.95
2/27/2020 17:20,24.35
2/27/2020 17:25,25.22
2/27/2020 17:35,25.92
2/27/2020 17:40,22.59
2/27/2020 17:45,24.82
2/27/2020 17:50,22.01
2/27/2020 17:55,24.56
2/27/2020 18:05,21.04
2/27/2020 18:10,22.74
2/27/2020 18:15,21.91
2/27/2020 18:20,22.03
2/27/2020 18:25,20.30
2/27/2020 18:35,22.93
2/27/2020 18:40,21.50
2/27/2020 18:45,26.66
2/27/2020 18:50,24.78
2/27/2020 18:55,25.62
2/28/2020 8:35,27.62
2/28/2020 8:40,23.32
2/28/2020 8:45,23.04
2/28/2020 8:50,26.27
2/28/2020 8:55,25.22
2/28/2020 9:05,25.29
2/28/2020 9:10,25.49
2/28/2020 9:15,24.41
2/28/2020 9:20,20.65
2/28/2020 9:25,26.61
2/28/2020 9:35,20.11
2/28/2020 9:40,24.13
2/28/2020 9:45,22.66
2/28/2020 9:50,24.96
2/28/2020 9:55,23.45
2/28/2020 10:05,20.04
2/28/2020 10:10,23.81
2/28/2020 10:15,22.67
2/28/2020 10:20,25.26
2/28/2020 10:25,25.74
2/28/2020 10:35,22.52
2/28/2020 10:40,20.66
2/28/2020 10:45,22.33
2/28/2020 10:50,21.02
2/28/2020 10:55,21.73
2/28/2020 16:35,18.57
2/28/2020 16:40,19.34
2/28/2020 16:45,22.89
2/28/2020 16:50,22.21
2/28/2020 16:55,18.89
2/28/2020 17:05,22.52
2/28/2020 17:10,21.29
2/28/2020 17:15,22.46
2/28/2020 17:20,22.62
2/28/2020 17:25,22.24
2/28/2020 17:35,16.21
2/28/2020 17:40,20.54
2/28/2020 17:45,22.52
2/28/2020 17:50,20.73
2/28/2020 17:55,23.07
2/28/2020 18:05,20.82
2/28/2020 18:10,22.72
2/28/2020 18:15,22.70
2/28/2020 18:20,20.45
2/28/2020 18:25,22.48
2/28/2020 18:35,19.86
2/28/2020 18:40,22.09
2/28/2020 18:45,22.35
2/28/2020 18:50,22.16
2/28/2020 18:55,19.40
2/28/2020 8:35,29.88
2/28/2020 8:40,27.29
2/28/2020 8:45,24.09
2/28/2020 8:50,27.38
2/28/2020 8:55,23.42
2/28/2020 9:05,26.04
2/28/2020 9:10,24.98
2/28/2020 9:15,24.44
2/28/2020 9:20,25.70
2/28/2020 9:25,25.74
2/28/2020 9:35,27.13
2/28/2020 9:40,23.28
2/28/2020 9:45,20.62
2/28/2020 9:50,23.98
2/28/2020 9:55,20.58
2/28/2020 10:05,25.18
2/28/2020 10:10,23.85
2/28/2020 10:15,24.02
2/28/2020 10:20,23.32
2/28/2020 10:25,21.59
2/28/2020 10:35,24.90
2/28/2020 10:40,22.90
2/28/2020 10:45,22.96
2/28/2020 10:50,24.95
2/28/2020 10:55,23.36
2/28/2020 16:35,2.58
2/28/2020 16:40,2.71
2/28/2020 16:45,2.98
2/28/2020 16:50,3.63
2/28/2020 16:55,4.48
2/28/2020 17:05,13.80
2/28/2020 17:10,9.74
2/28/2020 17:15,9.89
2/28/2020 17:20,11.51
2/28/2020 17:25,23.72
2/28/2020 17:35,23.07
2/28/2020 17:40,24.06
2/28/2020 17:45,22.65
2/28/2020 17:50,21.13
2/28/2020 17:55,22.20
2/28/2020 18:05,20.83
2/28/2020 18:10,21.52
2/28/2020 18:15,21.78
2/28/2020 18:20,19.52
2/28/2020 18:25,13.44
2/28/2020 18:35,22.87
2/28/2020 18:40,25.34
2/28/2020 18:45,24.54
2/28/2020 18:50,23.13
2/28/2020 18:55,20.71
2/24/2020 9:00,24.58
2/24/2020 9:30,19.07
2/24/2020 10:00,22.57
2/24/2020 10:30,22.38
2/24/2020 11:00,23.14
2/24/2020 17:00,20.74
2/24/2020 17:30,23.47
2/24/2020 18:00,20.13
2/24/2020 18:30,19.68
2/24/2020 19:00,23.33
2/24/2020 9:00,26.72
2/24/2020 9:30,24.62
2/24/2020 10:00,28.76
2/24/2020 10:30,24.40
2/24/2020 11:00,23.41
2/24/2020 17:00,21.77
2/24/2020 17:30,21.00
2/24/2020 18:00,23.99
2/24/2020 18:30,20.39
2/24/2020 19:00,21.15
2/25/2020 9:00,24.17
2/25/2020 9:30,22.03
2/25/2020 10:00,21.46
2/25/2020 10:30,21.93
2/25/2020 11:00,24.93
2/25/2020 17:00,24.38
2/25/2020 17:30,23.05
2/25/2020 18:00,22.45
2/25/2020 18:30,16.81
2/25/2020 19:00,19.97
2/25/2020 9:00,23.07
2/25/2020 9:30,23.10
2/25/2020 10:00,21.76
2/25/2020 10:30,21.63
2/25/2020 11:00,20.39
2/25/2020 17:00,20.59
2/25/2020 17:30,18.31
2/25/2020 18:00,21.74
2/25/2020 18:30,18.91
2/25/2020 19:00,21.97
2/26/2020 9:00,21.44
2/26/2020 9:30,22.93
2/26/2020 10:00,24.05
2/26/2020 10:30,22.52
2/26/2020 11:00,19.60
2/26/2020 17:00,19.23
2/26/2020 17:30,21.00
2/26/2020 18:00,22.16
2/26/2020 18:30,21.02
2/26/2020 19:00,20.16
2/26/2020 9:00,24.70
2/26/2020 9:30,25.32
2/26/2020 10:00,22.11
2/26/2020 10:30,22.12
2/26/2020 11:00,22.27
2/26/2020 17:00,23.84
2/26/2020 17:30,22.03
2/26/2020 18:00,20.56
2/26/2020 18:30,21.16
2/26/2020 19:00,19.82
2/27/2020 9:00,25.89
2/27/2020 9:30,20.55
2/27/2020 10:00,24.35
2/27/2020 10:30,22.14
2/27/2020 11:00,21.80
2/27/2020 17:00,25.28
2/27/2020 17:30,21.21
2/27/2020 18:00,22.99
2/27/2020 18:30,19.54
2/27/2020 19:00,22.77
2/27/2020 9:00,25.64
2/27/2020 9:30,26.39
2/27/2020 10:00,25.27
2/27/2020 10:30,23.99
2/27/2020 11:00,24.31
2/27/2020 17:00,23.32
2/27/2020 17:30,25.36
2/27/2020 18:00,18.63
2/27/2020 18:30,20.06
2/27/2020 19:00,24.96
2/28/2020 9:00,24.67
2/28/2020 9:30,22.72
2/28/2020 10:00,23.79
2/28/2020 10:30,22.72
2/28/2020 11:00,24.91
2/28/2020 17:00,23.38
2/28/2020 17:30,20.30
2/28/2020 18:00,21.21
2/28/2020 18:30,15.90
2/28/2020 19:00,23.65
2/28/2020 9:00,22.72
2/28/2020 9:30,24.68
2/28/2020 10:00,21.36
2/28/2020 10:30,23.07
2/28/2020 11:00,23.01
2/28/2020 17:00,5.14
2/28/2020 17:30,21.23
2/28/2020 18:00,24.76
2/28/2020 18:30,11.05
2/28/2020 19:00,21.52
